file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,512,-,962,1483,10924
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,512,h,964,1549,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,1,512,H,965,1546,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,512,-,967,1491,10924
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,512,h,969,1547,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,2,512,H,968,1565,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,512,-,962,1455,10932
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,512,h,962,1498,11008
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,3,512,H,962,1497,11008
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,1,512,-,1086,1668,10924
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,1,512,h,1087,1694,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,1,512,H,1087,1687,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,2,512,-,1085,1624,10924
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,2,512,h,1085,1679,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,2,512,H,1088,1681,11000
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,3,512,-,1133,1636,10932
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,3,512,h,1139,1688,11008
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,32,3,512,H,1141,1685,11008
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,1,512,-,1350,1892,20824
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,1,512,h,1351,1955,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,1,512,H,1352,1950,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,2,512,-,1353,1898,20824
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,2,512,h,1354,1951,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,2,512,H,1352,1956,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,512,-,1351,1856,20832
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,512,h,1352,1908,20908
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,512,H,1353,1906,20908
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,1,512,-,1680,2295,20824
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,1,512,h,1685,2299,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,1,512,H,1686,2300,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,2,512,-,1679,2237,20824
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,2,512,h,1675,2295,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,2,512,H,1676,2290,20900
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,3,512,-,1827,2340,20832
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,3,512,h,1830,2398,20908
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,32,3,512,H,1827,2392,20908
0_UNIFORM_10000,float,-,1,512,-,35291,36065,5474096
0_UNIFORM_10000,float,-,1,512,h,30846,31968,5514092
0_UNIFORM_10000,float,-,1,512,H,30764,31893,5514092
0_UNIFORM_10000,float,-,2,512,-,30822,31575,5474096
0_UNIFORM_10000,float,-,2,512,h,30856,31975,5514092
0_UNIFORM_10000,float,-,2,512,H,30871,31995,5514092
0_UNIFORM_10000,float,-,3,512,-,30726,31441,5478096
0_UNIFORM_10000,float,-,3,512,h,30704,31772,5518092
0_UNIFORM_10000,float,-,3,512,H,30739,31809,5518092
0_UNIFORM_10000,float,32,1,512,-,26638,27451,5474096
0_UNIFORM_10000,float,32,1,512,h,23356,25070,5514092
0_UNIFORM_10000,float,32,1,512,H,23372,24474,5514092
0_UNIFORM_10000,float,32,2,512,-,23462,24192,5474096
